station_id,lead_hours,n_pairs,mean_signed_error_cm,mae_cm,rmse_cm,bias_cm,within_5cm_pct,within_10cm_pct,within_20cm_pct,first_date,last_date,maturity
b5ab6a64-d495-4137-b6a3-4c98d96836c9,72,3,-2.666666666666666666666666667,2.666666666666666666666666667,3.366501646120693,-2.666666666666666666666666667,100,100,100,2026-08-05,2026-08-08,Date insuficiente
b5ab6a64-d495-4137-b6a3-4c98d96836c9,96,2,-4,4,4.123105625617661,-4,100,100,100,2026-08-06,2026-08-08,Date insuficiente
b5ab6a64-d495-4137-b6a3-4c98d96836c9,120,1,-6,6,6,-6,0,100,100,2026-08-07,2026-08-07,Date insuficiente
bbf5e3ee-6ed6-4b87-afee-d78643847aea,24,0,,,,,,,,,,Date insuficiente
bbf5e3ee-6ed6-4b87-afee-d78643847aea,48,0,,,,,,,,,,Date insuficiente
bbf5e3ee-6ed6-4b87-afee-d78643847aea,72,0,,,,,,,,,,Date insuficiente
bbf5e3ee-6ed6-4b87-afee-d78643847aea,96,0,,,,,,,,,,Date insuficiente
bbf5e3ee-6ed6-4b87-afee-d78643847aea,120,0,,,,,,,,,,Date insuficiente
c726848a-12e0-4961-be36-8a8d29ce9106,24,5,-1.4,1.4,1.7320508075688772,-1.4,100,100,100,2026-08-03,2026-08-08,Date insuficiente
c726848a-12e0-4961-be36-8a8d29ce9106,48,4,-3,3,3.872983346207417,-3,75,100,100,2026-08-04,2026-08-08,Date insuficiente
c726848a-12e0-4961-be36-8a8d29ce9106,72,3,-4.666666666666666666666666667,4.666666666666666666666666667,5.477225575051661,-4.666666666666666666666666667,66.66666666666666666666666667,100,100,2026-08-05,2026-08-08,Date insuficiente
c726848a-12e0-4961-be36-8a8d29ce9106,96,2,-7,7,7.280109889280518,-7,50,100,100,2026-08-06,2026-08-08,Date insuficiente
c726848a-12e0-4961-be36-8a8d29ce9106,120,1,-11,11,11,-11,0,0,100,2026-08-07,2026-08-07,Date insuficiente
cc4f13d6-eccf-48bf-a3b2-2ed3b60e1f63,24,4,-3,3,3.082207001484488,-3,100,100,100,2026-08-03,2026-08-07,Date insuficiente
