country_code,provider_id,source_station_id,source_station_uuid,station_name_original,station_name_ascii,river_name,river_km,latitude,longitude,gauge_zero_value,gauge_zero_unit,vertical_datum,level_unit,discharge_unit,temperature_unit,station_type,active,source_url,metadata_url,notes,possible_cross_border_match_id,match_confidence,match_reason,human_review_required
de,pegelonline_de,10068006,f768173a-7a22-40f7-90a3-4676da7e5010,PFATTER,PFATTER,Danube,2350.7,48.980436,12.383772,316.984,m. ü. NHN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/f768173a-7a22-40f7-90a3-4676da7e5010.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:pfatter,unknown,,yes
de,pegelonline_de,10062000,7644f1d7-3198-4313-9340-abefd459a4f3,SCHWABELWEIS,SCHWABELWEIS,Danube,2376.5,49.023583,12.138693,324.448,m. ü. NHN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/7644f1d7-3198-4313-9340-abefd459a4f3.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:schwabelweis,unknown,,yes
de,pegelonline_de,10061007,eebd633a-3af0-4b79-83d5-b6490765e06c,REGENSBURG EISERNE BRÜCKE,REGENSBURG EISERNE BRUCKE,Danube,2379.3,49.021359,12.101827,325.456,m. ü. NHN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/eebd633a-3af0-4b79-83d5-b6490765e06c.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:regensburg-eiserne-brucke,unknown,,yes
de,pegelonline_de,10056302,e476bcad-b898-4f68-9c26-4f1a1159dff6,OBERNDORF,OBERNDORF,Danube,2397.4,48.946969,12.014893,331.11,m. ü. NHN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/e476bcad-b898-4f68-9c26-4f1a1159dff6.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:oberndorf,unknown,,yes
de,pegelonline_de,10054500,c9409937-b794-4b69-b36b-38467daab09a,KELHEIMWINZER,KELHEIMWINZER,Danube,2409.7,48.911858,11.93206,335.659,m. ü. NHN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/c9409937-b794-4b69-b36b-38467daab09a.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:kelheimwinzer,unknown,,yes
de,pegelonline_de,10053009,296fc6d4-3c59-45f6-9424-ff57d1180b30,KELHEIM DONAU,KELHEIM DONAU,Danube,2414.8,48.916603,11.864627,,,,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/296fc6d4-3c59-45f6-9424-ff57d1180b30.json,agency=WASSERWIRTSCHAFTSAMT LANDSHUT; preserve source agency; republished when agency is not WSV,danube:kelheim-donau,unknown,,yes
de,pegelonline_de,10046105,824a046b-9ca3-4db8-993d-e755122854e0,INGOLSTADT LUITPOLDSTRASSE,INGOLSTADT LUITPOLDSTRASSE,Danube,2458.3,48.757414,11.426054,360.35,m. ü. NN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/824a046b-9ca3-4db8-993d-e755122854e0.json,agency=WASSERWIRTSCHAFTSAMT INGOLSTADT; preserve source agency; republished when agency is not WSV,danube:ingolstadt-luitpoldstrasse,unknown,,yes
at,viadonau_at,ATFRB00001G000122231,,Achleiten,Achleiten,Danube,2223.05,48.5819,13.5032,288.04,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=False,danube:achleiten,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
at,viadonau_at,ATWHE00001G000221440,,Wilhering,Wilhering,Danube,2144.05,48.3298,14.1813,249.12,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=False,danube:wilhering,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
at,viadonau_at,ATMAU00001G000321109,,Mauthausen,Mauthausen,Danube,2110.98,48.2391,14.5325,235.98,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=False,danube:mauthausen,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
at,viadonau_at,ATGRN00001G000820791,,Grein,Grein,Danube,2079.1,48.2272,14.8567,219.43,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=False,danube:grein,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
at,viadonau_at,ATROA00001G000520152,,Kienstock,Kienstock,Danube,2015.21,48.3823,15.4626,194.0,m,Adriatic Sea,cm,m3/s for characteristic discharge fields,,gauge,yes,https://opendata2.doris-info.at/doris/api/1.0/gauge/list,https://opendata2.doris-info.at/v3/api-docs/Opendata,Schwedenbrücke is Donaukanal; hasForecast=True,danube:kienstock,medium,same normalized name may occur in PEGELONLINE viadonau rows; not auto-deduplicated,yes
