station_id,station_nid,forecast_issue_datetime,forecast_issue_date,target_datetime,target_date,lead_hours,forecast_level_raw,forecast_level_cm,forecast_available,availability_source,html_value_raw,xml_html_match,capture_datetime_utc,capture_datetime_local,forecast_run_hash,first_seen_at,last_seen_at,quality_flag
264afec2-a181-408b-979c-473e5eaf4940,103,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-06T03:00:00+03:00,2026-08-06,96,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,9d060ebb60a4665e5ebd5633d7dc3a912d88716c4f0a1ab32b3ca22ec6484727,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
267d20a8-8a85-4d85-97e1-8aee686e9535,88,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-07T03:00:00+03:00,2026-08-07,120,-227,-227,True,xml_with_html_mismatch,-228,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,707afb86835850187f757546058ac4094afa96b60243a9c34884457866831203,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
267d20a8-8a85-4d85-97e1-8aee686e9535,88,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-03T03:00:00+03:00,2026-08-03,24,-218,-218,True,xml_with_html_mismatch,-216,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,707afb86835850187f757546058ac4094afa96b60243a9c34884457866831203,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
267d20a8-8a85-4d85-97e1-8aee686e9535,88,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-04T03:00:00+03:00,2026-08-04,48,-220,-220,True,xml_with_html_mismatch,-219,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,707afb86835850187f757546058ac4094afa96b60243a9c34884457866831203,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
267d20a8-8a85-4d85-97e1-8aee686e9535,88,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-05T03:00:00+03:00,2026-08-05,72,-222,-222,True,xml_html_confirmed,-222,True,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,707afb86835850187f757546058ac4094afa96b60243a9c34884457866831203,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,valid
267d20a8-8a85-4d85-97e1-8aee686e9535,88,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-06T03:00:00+03:00,2026-08-06,96,-224,-224,True,xml_with_html_mismatch,-225,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,707afb86835850187f757546058ac4094afa96b60243a9c34884457866831203,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
29f3d156-04e1-46bc-b699-bbea096e212f,89,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-07T03:00:00+03:00,2026-08-07,120,-178,-178,True,xml_with_html_mismatch,-181,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,7caba5564565451a69848280bc695728f42774406d8108594986eb10d541a1fa,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
29f3d156-04e1-46bc-b699-bbea096e212f,89,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-03T03:00:00+03:00,2026-08-03,24,-164,-164,True,xml_with_html_mismatch,-167,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,7caba5564565451a69848280bc695728f42774406d8108594986eb10d541a1fa,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
29f3d156-04e1-46bc-b699-bbea096e212f,89,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-04T03:00:00+03:00,2026-08-04,48,-166,-166,True,xml_with_html_mismatch,-170,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,7caba5564565451a69848280bc695728f42774406d8108594986eb10d541a1fa,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
29f3d156-04e1-46bc-b699-bbea096e212f,89,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-05T03:00:00+03:00,2026-08-05,72,-169,-169,True,xml_with_html_mismatch,-174,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,7caba5564565451a69848280bc695728f42774406d8108594986eb10d541a1fa,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
