station_id,country_code,station_name,station_name_local,geocoding_query,latitude,longitude,coordinate_method,coordinate_source,coordinate_provider,geocoder_result_label,geocoder_result_type,coordinate_confidence,review_status,review_notes,geocoded_at,source_url
hr-5170,HR,Batina,Batina,"Batina, Osijek-Baranja County, Croatia",,,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,,,unresolved,required,"unresolved: insufficient_name_match,not_a_locality",2026-08-04T18:48:01Z,https://nominatim.openstreetmap.org/search?q=Batina%2C+Osijek-Baranja+County%2C+Croatia&countrycodes=hr&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hr-5070,HR,Vukovar,Vukovar,"Vukovar, Croatia",45.3444094,19.002376,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Vukovar, Vukovar-Srijem County, Croatia",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:16Z,https://nominatim.openstreetmap.org/search?q=Vukovar%2C+Croatia&countrycodes=hr&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442535,HU,Adony,Adony,"Adony, Hungary",47.1208993,18.8631074,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Adony, Dunaújvárosi járás, Fejér, Central Transdanubia, Transdanubia, 2457, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:17Z,https://nominatim.openstreetmap.org/search?q=Adony%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442031,HU,Baja,Baja,"Baja, Hungary",46.1785471,18.9517255,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Baja, Bajai járás, Bács-Kiskun, South Great Plain, Great Plain and North, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:19Z,https://nominatim.openstreetmap.org/search?q=Baja%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442533,HU,Budafok,Budafok,"Budafok, Hungary",47.4275301,19.0260778,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Budafok, 22nd district, Budapest, Central Hungary, Hungary",suburb,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:21Z,https://nominatim.openstreetmap.org/search?q=Budafok%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442027,HU,Budapest,Budapest,"Budapest, Hungary",47.4978789,19.0402383,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Budapest, Central Hungary, Hungary",city,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:22Z,https://nominatim.openstreetmap.org/search?q=Budapest%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442708,HU,Doborgaz,Doborgaz,"Doborgaz, Gyor-Moson-Sopron, Hungary",,,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,,,unresolved,required,"unresolved: insufficient_name_match,not_a_locality",2026-08-04T18:48:03Z,https://nominatim.openstreetmap.org/search?q=Doborgaz%2C+Gyor-Moson-Sopron%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442540,HU,Dombori,Dombori,"Dombori, Hungary",46.4366964,18.8712337,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Dombori, Fadd, Tolnai járás, Tolna, Southern Transdanubia, Transdanubia, 7133, Hungary",hamlet,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:25Z,https://nominatim.openstreetmap.org/search?q=Dombori%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442029,HU,Dunafoldvar,Dunaföldvár,"Dunaföldvár, Hungary",46.810432,18.9222921,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Dunaföldvár, Paksi járás, Tolna, Southern Transdanubia, Transdanubia, 7020, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:26Z,https://nominatim.openstreetmap.org/search?q=Dunaf%C3%B6ldv%C3%A1r%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442021,HU,Dunaremete,Dunaremete,"Dunaremete, Hungary",47.8766438,17.437091,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Dunaremete, Mosonmagyaróvári járás, Győr-Moson-Sopron, Western Transdanubia, Transdanubia, Hungary",village,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:28Z,https://nominatim.openstreetmap.org/search?q=Dunaremete%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442560,HU,Dunaszekcso,Dunaszekcső,"Dunaszekcső, Hungary",46.0849215,18.7597386,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Dunaszekcső, Mohácsi járás, Baranya, Southern Transdanubia, Transdanubia, 7712, Hungary",village,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:29Z,https://nominatim.openstreetmap.org/search?q=Dunaszekcs%C5%91%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442028,HU,Dunaujvaros,Dunaújváros,"Dunaújváros, Hungary",46.9649048,18.9405047,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Dunaújváros, Dunaújvárosi járás, Fejér, Central Transdanubia, Transdanubia, 2400, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:30Z,https://nominatim.openstreetmap.org/search?q=Duna%C3%BAjv%C3%A1ros%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442534,HU,Ercsi,Ercsi,"Ercsi, Hungary",47.2519697,18.8983773,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Ercsi, Martonvásári járás, Fejér, Central Transdanubia, Transdanubia, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:32Z,https://nominatim.openstreetmap.org/search?q=Ercsi%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442025,HU,Esztergom,Esztergom,"Esztergom, Hungary",47.7856939,18.7403377,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Esztergom, Esztergomi járás, Komárom-Esztergom, Central Transdanubia, Transdanubia, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:33Z,https://nominatim.openstreetmap.org/search?q=Esztergom%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442643,HU,God,Göd,"Göd, Hungary",47.6834336,19.1341568,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Göd, Dunakeszi járás, Pest, Central Hungary, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:35Z,https://nominatim.openstreetmap.org/search?q=G%C3%B6d%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442521,HU,Gonyu,Gönyű,"Gönyű, Hungary",47.7331432,17.8279231,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Gönyű, Győri járás, Győr-Moson-Sopron, Western Transdanubia, Transdanubia, 9071, Hungary",village,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:36Z,https://nominatim.openstreetmap.org/search?q=G%C3%B6ny%C5%B1%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442522,HU,Komarom,Komárom,"Komárom, Hungary",47.7417349,18.1218256,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Komárom, Komáromi járás, Komárom-Esztergom, Central Transdanubia, Transdanubia, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:38Z,https://nominatim.openstreetmap.org/search?q=Kom%C3%A1rom%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442532,HU,Kvassay zsilip,Kvassay zsilip,"Kvassay zsilip, Hungary",,,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,,,unresolved,required,"unresolved: insufficient_name_match,not_a_locality",2026-08-04T18:44:39Z,https://nominatim.openstreetmap.org/search?q=Kvassay+zsilip%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442024,HU,Labatlan,Lábatlan,"Lábatlan, Hungary",47.7450853,18.5015732,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Lábatlan, Esztergomi járás, Komárom-Esztergom, Central Transdanubia, Transdanubia, 2541, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:41Z,https://nominatim.openstreetmap.org/search?q=L%C3%A1batlan%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hu-442032,HU,Mohacs,Mohács,"Mohács, Hungary",45.9933836,18.6821079,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Mohács, Mohácsi járás, Baranya, Southern Transdanubia, Transdanubia, Hungary",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:42Z,https://nominatim.openstreetmap.org/search?q=Moh%C3%A1cs%2C+Hungary&countrycodes=hu&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
